seg set 16 17:00:33 -03 2019 Starting master on hadoopmaster
core file size          (blocks, -c) 0
data seg size           (kbytes, -d) unlimited
scheduling priority             (-e) 0
file size               (blocks, -f) unlimited
pending signals                 (-i) 59733
max locked memory       (kbytes, -l) 65536
max memory size         (kbytes, -m) unlimited
open files                      (-n) 1024
pipe size            (512 bytes, -p) 8
POSIX message queues     (bytes, -q) 819200
real-time priority              (-r) 0
stack size              (kbytes, -s) 8192
cpu time               (seconds, -t) unlimited
max user processes              (-u) 59733
virtual memory          (kbytes, -v) unlimited
file locks                      (-x) unlimited
2019-09-16 17:00:36,809 INFO  [main] http.HttpRequestLog: Http request log for http.requests.master is not defined
2019-09-16 17:00:36,825 INFO  [main] http.HttpServer: Added global filter 'safety' (class=org.apache.hadoop.hbase.http.HttpServer$QuotingInputFilter)
2019-09-16 17:00:36,826 INFO  [main] http.HttpServer: Added global filter 'clickjackingprevention' (class=org.apache.hadoop.hbase.http.ClickjackingPreventionFilter)
2019-09-16 17:00:36,828 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context master
2019-09-16 17:00:36,828 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context logs
2019-09-16 17:00:36,828 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context static
2019-09-16 17:00:36,863 INFO  [main] http.HttpServer: Jetty bound to port 16010
2019-09-16 17:00:36,864 INFO  [main] server.Server: jetty-9.3.19.v20170502
2019-09-16 17:00:36,914 INFO  [main] handler.ContextHandler: Started o.e.j.s.ServletContextHandler@4b200971{/logs,file:///services/hbase/logs/,AVAILABLE}
2019-09-16 17:00:36,915 INFO  [main] handler.ContextHandler: Started o.e.j.s.ServletContextHandler@68d7a2df{/static,file:///services/hbase/hbase-webapps/static/,AVAILABLE}
2019-09-16 17:00:37,087 INFO  [main] handler.ContextHandler: Started o.e.j.w.WebAppContext@6fa0450e{/,file:///services/hbase/hbase-webapps/master/,AVAILABLE}{file:/services/hbase/hbase-webapps/master}
2019-09-16 17:00:37,093 INFO  [main] server.AbstractConnector: Started ServerConnector@39999a06{HTTP/1.1,[http/1.1]}{0.0.0.0:16010}
2019-09-16 17:00:37,093 INFO  [main] server.Server: Started @2918ms
2019-09-16 17:00:37,098 INFO  [main] master.HMaster: hbase.rootdir=hdfs://hadoopmaster:9000/tmp/hbase-hadoop/hbase, hbase.cluster.distributed=false
2019-09-16 17:00:37,184 INFO  [main] regionserver.RSRpcServices: regionserver/hadoopmaster:16020 server-side Connection retries=45
2019-09-16 17:00:37,184 INFO  [main] ipc.RpcExecutor: Instantiated default.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=3, maxQueueLength=300, handlerCount=30
2019-09-16 17:00:37,184 INFO  [main] ipc.RpcExecutor: Instantiated priority.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=2, maxQueueLength=300, handlerCount=20
2019-09-16 17:00:37,184 INFO  [main] ipc.RpcExecutor: Instantiated replication.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=1, maxQueueLength=300, handlerCount=3
2019-09-16 17:00:37,189 INFO  [main] ipc.RpcServerFactory: Creating org.apache.hadoop.hbase.ipc.NettyRpcServer hosting hbase.pb.ClientService, hbase.pb.AdminService
2019-09-16 17:00:37,190 INFO  [main] io.ByteBufferPool: Created with bufferSize=64 KB and maxPoolSize=1.88 KB
2019-09-16 17:00:37,195 INFO  [main] ipc.NettyRpcServer: Bind to /172.29.70.242:16020
2019-09-16 17:00:37,195 INFO  [main] hfile.CacheConfig: Allocating onheap LruBlockCache size=1.45 GB, blockSize=64 KB
2019-09-16 17:00:37,203 INFO  [main] hfile.CacheConfig: Created cacheConfig: blockCache=LruBlockCache{blockCount=0, currentSize=1.09 MB, freeSize=1.45 GB, maxSize=1.45 GB, heapSize=1.09 MB, minSize=1.38 GB, minFactor=0.95, multiSize=705.42 MB, multiFactor=0.5, singleSize=352.71 MB, singleFactor=0.25}, cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false
2019-09-16 17:00:37,205 INFO  [main] hfile.CacheConfig: Created cacheConfig: blockCache=LruBlockCache{blockCount=0, currentSize=1.09 MB, freeSize=1.45 GB, maxSize=1.45 GB, heapSize=1.09 MB, minSize=1.38 GB, minFactor=0.95, multiSize=705.42 MB, multiFactor=0.5, singleSize=352.71 MB, singleFactor=0.25}, cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false
2019-09-16 17:00:37,207 INFO  [main] fs.HFileSystem: Added intercepting call to namenode#getBlockLocations so can do block reordering using class org.apache.hadoop.hbase.fs.HFileSystem$ReorderWALBlocks
2019-09-16 17:00:37,212 INFO  [main] fs.HFileSystem: Added intercepting call to namenode#getBlockLocations so can do block reordering using class org.apache.hadoop.hbase.fs.HFileSystem$ReorderWALBlocks
2019-09-16 17:00:37,214 INFO  [main] zookeeper.RecoverableZooKeeper: Process identifier=regionserver:16020 connecting to ZooKeeper ensemble=localhost:2181
2019-09-16 17:00:37,214 INFO  [main] zookeeper.ZooKeeper: Initiating client connection, connectString=localhost:2181 sessionTimeout=10000 watcher=org.apache.hadoop.hbase.zookeeper.PendingWatcher@79c5460e
2019-09-16 17:00:37,219 INFO  [main-SendThread(localhost:2181)] zookeeper.ClientCnxn: Opening socket connection to server localhost/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
2019-09-16 17:00:37,219 INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181] server.NIOServerCnxnFactory: Accepted socket connection from /127.0.0.1:51926
2019-09-16 17:00:37,219 INFO  [main-SendThread(localhost:2181)] zookeeper.ClientCnxn: Socket connection established to localhost/127.0.0.1:2181, initiating session
2019-09-16 17:00:37,220 INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181] server.ZooKeeperServer: Client attempting to establish new session at /127.0.0.1:51926
2019-09-16 17:00:37,221 INFO  [SyncThread:0] server.ZooKeeperServer: Established session 0x16d3ba99e790001 with negotiated timeout 10000 for client /127.0.0.1:51926
2019-09-16 17:00:37,221 INFO  [main-SendThread(localhost:2181)] zookeeper.ClientCnxn: Session establishment complete on server localhost/127.0.0.1:2181, sessionid = 0x16d3ba99e790001, negotiated timeout = 10000
2019-09-16 17:00:37,251 INFO  [main] http.HttpRequestLog: Http request log for http.requests.regionserver is not defined
2019-09-16 17:00:37,251 INFO  [main] http.HttpServer: Added global filter 'safety' (class=org.apache.hadoop.hbase.http.HttpServer$QuotingInputFilter)
2019-09-16 17:00:37,252 INFO  [main] http.HttpServer: Added global filter 'clickjackingprevention' (class=org.apache.hadoop.hbase.http.ClickjackingPreventionFilter)
2019-09-16 17:00:37,252 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context regionserver
2019-09-16 17:00:37,253 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context logs
2019-09-16 17:00:37,253 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context static
2019-09-16 17:00:37,255 INFO  [main] http.HttpServer: Jetty bound to port 16030
2019-09-16 17:00:37,255 INFO  [main] server.Server: jetty-9.3.19.v20170502
2019-09-16 17:00:37,257 INFO  [main] handler.ContextHandler: Started o.e.j.s.ServletContextHandler@7ff8a9dc{/logs,file:///services/hbase/logs/,AVAILABLE}
2019-09-16 17:00:37,257 INFO  [main] handler.ContextHandler: Started o.e.j.s.ServletContextHandler@534e58b6{/static,file:///services/hbase/hbase-webapps/static/,AVAILABLE}
2019-09-16 17:00:37,274 INFO  [main] handler.ContextHandler: Started o.e.j.w.WebAppContext@2aaf152b{/,file:///services/hbase/hbase-webapps/regionserver/,AVAILABLE}{file:/services/hbase/hbase-webapps/regionserver}
2019-09-16 17:00:37,275 INFO  [main] server.AbstractConnector: Started ServerConnector@5cb05e6c{HTTP/1.1,[http/1.1]}{0.0.0.0:16030}
2019-09-16 17:00:37,275 INFO  [main] server.Server: Started @3100ms
2019-09-16 17:00:37,277 INFO  [master/hadoopmaster:16000:becomeActiveMaster] master.HMaster: Adding backup master ZNode /hbase/backup-masters/hadoopmaster.solutis.net.br,16000,1568664035088
2019-09-16 17:00:37,344 INFO  [master/hadoopmaster:16000:becomeActiveMaster] master.ActiveMasterManager: Deleting ZNode for /hbase/backup-masters/hadoopmaster.solutis.net.br,16000,1568664035088 from backup master directory
2019-09-16 17:00:37,351 INFO  [master/hadoopmaster:16000:becomeActiveMaster] master.ActiveMasterManager: Registered as active master=hadoopmaster.solutis.net.br,16000,1568664035088
2019-09-16 17:00:37,527 INFO  [Thread-26] hdfs.DFSClient: Exception in createBlockOutputStream
java.net.NoRouteToHostException: No route to host
	at sun.nio.ch.SocketChannelImpl.checkConnect(Native Method)
	at sun.nio.ch.SocketChannelImpl.finishConnect(SocketChannelImpl.java:717)
	at org.apache.hadoop.net.SocketIOWithTimeout.connect(SocketIOWithTimeout.java:206)
	at org.apache.hadoop.net.NetUtils.connect(NetUtils.java:531)
	at org.apache.hadoop.hdfs.DFSOutputStream.createSocketForPipeline(DFSOutputStream.java:1717)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.createBlockOutputStream(DFSOutputStream.java:1447)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.nextBlockOutputStream(DFSOutputStream.java:1400)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.run(DFSOutputStream.java:554)
2019-09-16 17:00:37,528 INFO  [Thread-26] hdfs.DFSClient: Abandoning BP-794589302-172.29.70.242-1568655766632:blk_1073741825_1001
2019-09-16 17:00:37,534 INFO  [Thread-26] hdfs.DFSClient: Excluding datanode DatanodeInfoWithStorage[172.29.40.69:50010,DS-b7409052-ff6b-41ac-810b-8d4ec7e7ca31,DISK]
2019-09-16 17:00:38,263 INFO  [master/hadoopmaster:16000:becomeActiveMaster] util.FSUtils: Created version file at hdfs://hadoopmaster:9000/tmp/hbase-hadoop/hbase with version=8
2019-09-16 17:00:38,287 INFO  [Thread-29] hdfs.DFSClient: Exception in createBlockOutputStream
java.io.IOException: Got error, status message , ack with firstBadLink as 172.29.40.69:50010
	at org.apache.hadoop.hdfs.protocol.datatransfer.DataTransferProtoUtil.checkBlockOpStatus(DataTransferProtoUtil.java:140)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.createBlockOutputStream(DFSOutputStream.java:1497)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.nextBlockOutputStream(DFSOutputStream.java:1400)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.run(DFSOutputStream.java:554)
2019-09-16 17:00:38,288 INFO  [Thread-29] hdfs.DFSClient: Abandoning BP-794589302-172.29.70.242-1568655766632:blk_1073741827_1003
2019-09-16 17:00:38,291 INFO  [Thread-29] hdfs.DFSClient: Excluding datanode DatanodeInfoWithStorage[172.29.40.69:50010,DS-b7409052-ff6b-41ac-810b-8d4ec7e7ca31,DISK]
2019-09-16 17:00:38,929 INFO  [master/hadoopmaster:16000:becomeActiveMaster] master.MasterFileSystem: BOOTSTRAP: creating hbase:meta region
2019-09-16 17:00:38,935 INFO  [master/hadoopmaster:16000:becomeActiveMaster] regionserver.HRegion: ', EVICT_BLOCKS_ON_CLOSE => 'false', NEW_VERSION_BEHAVIOR => 'false', KEEP_DELETED_CELLS => 'FALSE', CACHE_DATA_ON_WRITE => 'false', DATA_BLOCK_ENCODING => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', REPLICATION_SCOPE => '0', BLOOMFILTER => 'NONE', CACHE_INDEX_ON_WRITE => 'false', IN_MEMORY => 'true', CACHE_BLOOMS_ON_WRITE => 'false', PREFETCH_BLOCKS_ON_OPEN => 'false', COMPRESSION => 'NONE', BLOCKCACHE => 'true', BLOCKSIZE => '65536'}, {NAME => 'table', VERSIONS => '3', EVICT_BLOCKS_ON_CLOSE => 'false', NEW_VERSION_BEHAVIOR => 'false', KEEP_DELETED_CELLS => 'FALSE', CACHE_DATA_ON_WRITE => 'false', DATA_BLOCK_ENCODING => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', REPLICATION_SCOPE => '0', BLOOMFILTER => 'NONE', CACHE_INDEX_ON_WRITE => 'false', IN_MEMORY => 'true', CACHE_BLOOMS_ON_WRITE => 'false', PREFETCH_BLOCKS_ON_OPEN => 'false', COMPRESSION => 'NONE', BLOCKCACHE => 'true', BLOCKSIZE => '8192'} RootDir = hdfs://hadoopmaster:9000/tmp/hbase-hadoop/hbase Table name == hbase:meta
2019-09-16 17:00:38,957 INFO  [Thread-32] hdfs.DFSClient: Exception in createBlockOutputStream
java.net.NoRouteToHostException: No route to host
	at sun.nio.ch.SocketChannelImpl.checkConnect(Native Method)
	at sun.nio.ch.SocketChannelImpl.finishConnect(SocketChannelImpl.java:717)
	at org.apache.hadoop.net.SocketIOWithTimeout.connect(SocketIOWithTimeout.java:206)
	at org.apache.hadoop.net.NetUtils.connect(NetUtils.java:531)
	at org.apache.hadoop.hdfs.DFSOutputStream.createSocketForPipeline(DFSOutputStream.java:1717)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.createBlockOutputStream(DFSOutputStream.java:1447)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.nextBlockOutputStream(DFSOutputStream.java:1400)
